Month,Money_Printing
16-Jan,"1,868,032"
16-Feb,"1,920,837"
16-Mar,"1,954,066"
16-Apr,"1,959,489"
16-May,"1,965,599"
16-Jun,"2,005,429"
16-Jul,"2,032,042"
16-Aug,"1,937,922"
16-Sep,"1,948,923"
16-Oct,"1,958,167"
16-Nov,"1,960,268"
16-Dec,"1,972,133"
17-Jan,"2,113,052"
17-Feb,"2,192,114"
17-Mar,"2,214,546"
17-Apr,"2,206,289"
17-May,"2,239,740"
17-Jun,"2,234,623"
17-Jul,"2,254,458"
17-Aug,"2,237,515"
17-Sep,"2,223,552"
17-Oct,"2,217,747"
17-Nov,"2,160,271"
17-Dec,"2,168,517"
18-Jan,"2,221,413"
18-Feb,"2,245,717"
18-Mar,"2,278,461"
18-Apr,"2,322,488"
18-May,"2,324,225"
18-Jun,"2,273,701"
18-Jul,"2,226,708"
18-Aug,"2,272,420"
18-Sep,"2,427,553"
18-Oct,"2,422,365"
18-Nov,"2,465,008"
18-Dec,"2,516,711"
19-Jan,"2,626,882"
19-Feb,"2,673,182"
19-Mar,"2,614,256"
19-Apr,"2,585,676"
19-May,"2,595,911"
19-Jun,"2,668,070"
19-Jul,"2,704,081"
19-Aug,"2,751,994"
19-Sep,"2,731,661"
19-Oct,"2,728,757"
19-Nov,"2,702,054"
19-Dec,"2,795,927"
20-Jan,"2,916,395"
20-Feb,"2,960,042"
20-Mar,"3,235,475"
20-Apr,"3,301,332"
20-May,"3,464,361"
20-Jun,"3,599,386"
20-Jul,"3,783,573"
20-Aug,"3,834,854"
20-Sep,"3,981,981"
20-Oct,"4,262,995"
20-Nov,"4,362,789"
20-Dec,"4,548,061"
21-Jan,"4,757,960"
21-Feb,"4,793,121"
21-Mar,"4,941,848"
21-Apr,"4,965,055"
21-May,"5,014,283"
21-Jun,"5,123,879"
21-Jul,"5,411,221"
21-Aug,"5,531,434"
21-Sep,"5,594,599"
21-Oct,"5,665,031"
21-Nov,"5,713,792"
21-Dec,"5,832,420"
22-Jan,"6,053,565"
22-Feb,"6,099,937"
Mar-22 (g),"6,555,682"
Apr-22 (g),"6,569,415"
May-22 (g),"6,522,545"
22-Jun,"6,696,887"
22-Jul,"6,826,396"
22-Aug,"6,990,090"
22-Sep,"7,043,408"
Oct-22 (h),"7,178,423"
22-Nov,"7,292,623"
22-Dec,"7,471,108"
,
,
"(a) Reserve Money (M0) includes curerncy in circulation, commercial banks' domestic currency deposits maintained at the Central Bank as per the Statutory Reserve Ratio, and Deposits of selected Government Agencies with the Central Bank.",
"(b) Broad Money (M2) includes currency and demand, savings and time deposits denominated in rupees held by the public with commercial banks.",
(c) Narrow Money (M1) includes currency and demand deposits denominated in rupees held by the public with commercial banks.,
"(d) M2b includes currency and demand, savings and time deposits denominated in rupees as well as foreign currency, held by the public with commercial banks.  M2b reflects the operations of the offshore banking units (OBUs) of commercial banks in addition to those of the domestic banking units (DBUs) of commercial banks and the Central Bank, which are covered by M2.",
(e) This includes NFA of the Central Bank as well as the Government's Crown Agent's balance reported by the Department of State Accounts,
"(f) DFCC Bank which operated as a Licensed Specialised Bank was amalgamated with the DFCC Vardhana Bank and operates as a Licensed Commercial Bank namely, DFCC Bank PLC with effect from 1 October 2015.",
(g) The sharp depreciation of the Sri Lanka rupee during March to May 2022 remains the key reason for the augmentation of monetary and credit aggregates during that period.,
(h) Revised,
